SBP_Male	GDP	TC_Male	Country	Year	Year_base1978
138.7831	15641.971055	6.036262	France	1980	1.41421356237
138.4742	1896.7879005	5.226279	Georgia	1980	1.41421356237
134.2501	630.476666247	4.255198	Gambia	1980	1.41421356237
133.9388	10354.3507563	5.549522	French Polynesia	1980	1.41421356237
132.5967	12856.7178532	5.831725	Israel	1980	1.41421356237
136.6196	13160.828125	5.679641	Italy	1980	1.41421356237
136.5936	19691.4300854	5.914993	Denmark	1980	1.41421356237
131.2596	2719.61139158	4.781347	Jamaica	1980	1.41421356237
135.9049	825.604197515	5.308165	Moldova	1980	1.41421356237
130.3407	145.997461238	4.142391	Chad	1980	1.41421356237
129.7175	5024.44480197	4.912317	Mexico	1980	1.41421356237
133.388	2500.26772734	5.021758	Chile	1980	1.41421356237
133.8192	1572.82450628	4.850622	Mauritius	1980	1.41421356237
134.1249	543.849316617	4.472805	Mauritania	1980	1.41421356237
129.1048	186.439660671	4.208016	China	1980	1.41421356237
136.5557	5083.81709315	5.922856	Malta	1980	1.41421356237
132.2899	2019.85473031	4.885347	Colombia	1980	1.41421356237
127.9186	211.988566345	4.22526	Mali	1980	1.41421356237
131.4957	412.365056973	4.377637	Comoros	1980	1.41421356237
127.3278	1909.61806662	4.859535	Malaysia	1980	1.41421356237
130.2455	160.223208357	4.210003	Malawi	1980	1.41421356237
131.5249	7540.68526346	5.373297	Argentina	1980	1.41421356237
133.9859	259.666131117	4.161551	Congo, Dem. Rep.	1980	1.41421356237
136.5711	970.973632127	4.475759	Congo, Rep.	1980	1.41421356237
139.621	21003.6950135	6.243433	Luxembourg	1980	1.41421356237
131.1291	3189.039826	4.807304	Costa Rica	1980	1.41421356237
134.2041	682.40032089	4.268384	Liberia	1980	1.41421356237
128.6312	287.526994872	4.253296	Lesotho	1980	1.41421356237
136.5051	909.007067515	4.385874	Cote d'Ivoire	1980	1.41421356237
138.7732	3201.32505856	5.553731	Latvia	1980	1.41421356237
127.454	720.269957	4.751415	Kiribati	1980	1.41421356237
130.41	2411.27844153	4.882828	Cuba	1980	1.41421356237
128.2376	435.55578941	4.400818	Kenya	1980	1.41421356237
127.2848	1931.68134134	4.988453	Jordan	1980	1.41421356237
134.2823	6646.5372098	5.444128	Cyprus	1980	1.41421356237
136.7991	23021.7256302	4.793447	Japan	1980	1.41421356237
130.6493	359.94369069	4.428649	Madagascar	1980	1.41421356237
129.8247	1495.12758956	4.477231	Tunisia	1980	1.41421356237
141.8779	5265.34312155	4.926718	Gabon	1980	1.41421356237
131.2012	22630.5201482	5.629533	United States	1980	1.41421356237
125.8545	2540.36315789	4.812084	Turkey	1980	1.41421356237
134.836	5618.84807941	5.285588	Uruguay	1980	1.41421356237
132.4093	1876.07563869	4.925933	Algeria	1980	1.41421356237
132.5722	4639.18768603	4.868222	Antigua and Barbuda	1980	1.41421356237
137.6991	61374.7545459	5.659113	United Arab Emirates	1980	1.41421356237
140.8585	17013.6984882	6.178972	Andorra	1980	1.41421356237
136.5205	15618.1474205	6.240528	United Kingdom	1980	1.41421356237
128.6818	281.902671033	4.243768	Lesotho	1981	1.73205080757
137.0569	2235.44420149	4.704581	Namibia	1981	1.73205080757
129.692	283.54555466	4.495464	Sudan	1981	1.73205080757
135.0371	10136.4754646	5.249152	Bahrain	1981	1.73205080757
130.0872	1050.71616538	4.839973	Bolivia	1981	1.73205080757
133.9015	2504.55690965	4.734462	Dominica	1981	1.73205080757
130.9155	17124.3905451	5.617574	Canada	1981	1.73205080757
130.9517	1357.3030068	4.986357	Iran	1981	1.73205080757
132.2108	13252.0194965	5.802999	Israel	1981	1.73205080757
126.3969	463.822387755	4.502532	Sri Lanka	1981	1.73205080757
